review_id,helpfulness
1130688,2
1437136,4
769442,3
343871,1
98308,3
1400127,2
82007,3
973645,4
1652592,4
1040000,3
522479,5
1141317,4
771668,2
1809502,2
1809356,1
106804,3
1523108,4
1521547,2
1255325,3
122135,5
236371,2
1665291,2
1198706,5
1809297,3
1478851,2
1809368,2
1186279,3
243862,2
470240,2
1384313,3
1809371,3
1809549,2
1122313,3
1809318,2
293330,5
673258,4
890158,4
480713,4
1240410,2
1142423,3
97338,3
1582074,2
80508,5
1186702,2
1421819,4
1809436,3
79266,4
473794,3
1565880,1
1809348,3
1247156,5
848477,4
1568725,1
2007800,4
943847,1
1766844,2
1297944,1
897454,5
1809564,3
456312,3
774365,3
1636046,4
122020,1
1155309,3
179922,3
1417896,4
320995,4
364797,3
757193,2
1286738,3
1198360,4
370864,3
264921,1
700980,2
1809562,2
611305,4
38698,3
172803,1
1452324,3
1809427,2
1361887,3
133322,1
302382,2
133658,4
1523532,3
768435,5
1809414,1
372872,3
1809343,1
1140852,1
202150,5
1473802,1
1809299,2
556666,3
164083,4
1043465,3
1809332,3
1582429,4
591047,4
1113192,2
1809346,2
1809355,3
885943,5
777421,4
1183585,4
1416021,3
1086780,2
1508948,2
888044,3
908965,2
788230,5
1720538,1
1173429,1
613965,3
1025005,3
1809286,1
221411,4
1499690,3
1306756,2
1785775,4
1407889,3
43879,3
220456,1
294297,5
1759404,4
183696,4
1809559,2
837826,3
1809417,1
14015,2
1408011,1
972506,1
1326790,4
1502460,3
1609638,4
1676969,2
575411,2
952333,3
1809372,3
1809477,3
468276,4
1629991,2
1160246,2
1076638,3
1349745,5
446140,4
91617,3
1646723,3
1394753,3
842208,3
1809515,4
1601989,3
1809464,2
584171,5
2894,2
808131,4
1303326,3
1176329,2
992770,3
379802,4
36523,4
999430,2
1361442,2
886260,2
95215,4
1134302,1
381603,4
1809568,3
1809533,3
1466086,4
1220984,4
33573,1
145322,4
1809296,3
1579981,4
887534,3
781402,2
581090,3
347512,2
930381,2
6232,2
1250974,4
1481207,2
609149,4
668244,4
1809530,2
1188113,3
1685113,3
69480,3
712485,2
297667,4
758654,3
925102,2
1680318,5
1538715,2
736157,1
1215476,3
655746,3
1809400,1
1972144,2
