helpfulness,review_id
1,1130688
4,1437136
3,769442
1,343871
2,98308
1,1400127
2,82007
3,973645
1,1652592
4,1040000
4,522479
4,1141317
1,771668
3,1809502
1,1809356
3,106804
5,1523108
3,1521547
2,1255325
5,122135
3,236371
2,1665291
3,1198706
3,1809297
3,1478851
1,1809368
3,1186279
2,243862
2,470240
2,1384313
2,1809371
1,1809549
2,1122313
1,1809318
3,293330
2,673258
2,890158
3,480713
1,1240410
2,1142423
2,97338
1,1582074
3,80508
2,1186702
3,1421819
2,1809436
2,79266
2,473794
1,1565880
2,1809348
3,1247156
2,848477
1,1568725
4,2007800
1,943847
3,1766844
1,1297944
4,897454
2,1809564
2,456312
2,774365
4,1636046
1,122020
2,1155309
3,179922
3,1417896
2,320995
2,364797
1,757193
2,1286738
3,1198360
2,370864
2,700980
2,1809562
3,611305
2,38698
1,172803
2,1452324
2,1809427
1,1361887
2,133322
2,302382
2,133658
3,1523532
4,768435
1,1809414
1,372872
1,1809343
1,1140852
3,202150
2,1473802
2,1809299
3,556666
4,164083
2,1043465
1,1809332
2,1582429
2,591047
1,1113192
1,1809346
1,1809355
3,885943
2,777421
2,1183585
2,1416021
1,1086780
1,1508948
2,888044
1,908965
4,788230
1,1720538
1,1173429
2,613965
2,1025005
1,1809286
3,221411
2,1499690
2,1306756
2,1785775
2,1407889
2,43879
1,220456
3,294297
2,1759404
2,183696
1,1809559
3,837826
1,1809417
2,14015
1,1408011
2,972506
3,1326790
2,1502460
3,1609638
1,1676969
1,575411
4,952333
2,1809372
3,1809477
2,468276
2,1629991
2,1160246
2,1076638
1,1349745
2,446140
2,91617
2,1646723
2,1394753
2,842208
2,1809515
1,1601989
1,1809464
4,584171
1,2894
3,808131
3,1303326
1,1176329
2,992770
3,379802
2,36523
2,999430
1,1361442
1,886260
4,95215
1,1134302
2,381603
1,1809568
1,1809533
1,1466086
1,1220984
1,33573
3,145322
2,1809296
3,1579981
2,781402
2,581090
1,347512
1,930381
1,6232
1,1250974
1,1481207
2,609149
2,668244
1,1809530
1,1188113
1,1685113
1,69480
2,712485
3,297667
2,758654
1,925102
4,1680318
3,1538715
1,736157
1,1215476
3,655746
1,1809400
2,1972144
