review_id,helpfulness
1130688,1
1437136,5
769442,2
343871,1
98308,3
1400127,2
82007,3
973645,4
1652592,3
1040000,3
522479,5
1141317,5
771668,1
1809502,3
1809356,1
106804,3
1523108,4
1521547,2
1255325,1
122135,5
236371,3
1665291,2
1198706,4
1809297,1
1809368,2
1186279,3
243862,1
470240,2
1384313,3
1809371,1
1809549,2
1122313,1
1809318,1
293330,3
673258,4
890158,3
480713,3
1240410,1
1142423,2
97338,2
1582074,1
80508,3
1186702,2
1421819,4
1809436,2
79266,3
473794,1
1565880,1
1809348,1
1247156,4
848477,3
1568725,1
2007800,4
943847,1
1766844,2
1297944,1
897454,5
1809564,3
456312,3
774365,4
1636046,4
122020,1
1155309,2
179922,3
1417896,4
320995,3
364797,3
757193,1
1286738,2
1198360,4
370864,3
264921,3
700980,3
1809562,2
611305,3
38698,3
172803,2
1452324,3
1809427,3
1361887,1
133322,2
302382,3
133658,4
1523532,4
768435,5
1809414,2
372872,1
1809343,1
1140852,2
202150,4
1473802,3
1809299,3
556666,3
164083,4
1043465,3
1809332,1
1582429,4
591047,3
1113192,2
1809346,2
1809355,2
885943,3
777421,3
1183585,2
1416021,3
1086780,2
1508948,2
888044,2
908965,2
788230,4
1720538,1
1173429,2
613965,3
1025005,3
1809286,2
221411,3
1499690,3
1306756,2
1785775,2
1407889,2
43879,1
220456,1
294297,4
1759404,3
183696,2
1809559,2
837826,3
1809417,2
14015,2
1408011,2
972506,1
1326790,2
1502460,3
1609638,3
1676969,2
575411,2
952333,5
1809372,3
1809477,3
468276,2
1629991,2
1160246,2
1076638,2
1349745,2
446140,3
91617,3
1646723,2
1394753,3
842208,2
1809515,2
1601989,1
1809464,1
584171,4
2894,1
808131,3
1303326,3
1176329,1
992770,1
379802,2
36523,2
999430,2
1361442,1
886260,1
95215,3
1134302,1
381603,3
1809568,3
1809533,2
1466086,2
1220984,2
33573,1
145322,3
1809296,1
1579981,3
781402,2
581090,2
347512,1
930381,2
6232,1
1250974,2
1481207,1
609149,2
668244,3
1809530,1
1188113,2
1685113,1
69480,2
712485,2
297667,2
758654,2
925102,2
1680318,1
1538715,2
736157,1
1215476,2
655746,3
1809400,1
1972144,2
