review_id,helpfulness
2415252,4
1117804,5
3525171,3
3524683,4
3524286,5
2748945,4
261042,3
2402541,4
1537937,2
2665303,4
2309008,3
3526023,4
3524493,1
3525274,3
3524196,4
3290653,3
383543,2
3525556,3
3525235,3
338877,4
559086,5
288198,2
2835966,1
2418711,3
3523399,4
3523130,4
2214095,4
3525881,5
3525800,3
3522987,4
3523124,5
374010,1
2182324,3
3523618,1
3523865,4
2902997,3
4961857,5
2170148,5
2337737,1
3526272,4
2484568,5
941262,2
4491900,4
3522996,3
3525205,1
3524097,4
479793,5
2444850,5
399861,4
11593,4
