helpfulness,review_id
4,2415252
5,1117804
3,3525171
3,3524683
4,3524286
3,2748945
2,261042
4,2402541
2,1537937
3,2665303
3,2309008
4,3526023
2,3524493
4,3525274
4,3524196
3,3290653
3,383543
3,3525556
3,3525235
3,338877
4,559086
1,288198
1,2835966
2,2418711
3,3523399
3,3523130
4,2214095
3,3525881
2,3525800
3,3522987
4,3523124
1,374010
3,2182324
1,3523618
4,3523865
3,2902997
4,4961857
4,2170148
1,2337737
4,3526272
4,2484568
2,941262
4,4491900
3,3522996
1,3525205
3,3524097
5,479793
4,2444850
4,399861
3,11593
3,1005604
3,600928
4,1895810
5,3523458
4,676375
3,3522892
3,973588
4,3143857
3,3523999
2,1309436
1,2703810
5,3523678
1,3323854
4,3524543
2,3207280
3,3525875
2,545091
2,3524421
5,432083
3,3525214
5,3523613
3,3475339
4,589388
4,3524387
2,649706
3,4643685
3,5828605
4,3525052
4,1572861
3,3523529
4,3144581
3,3524924
4,112643
2,1853186
4,2319273
4,1002906
4,3525617
3,3476693
3,2545683
3,3524321
3,3228205
4,3526790
2,2169186
3,3524504
4,3525328
5,3525051
4,1442520
4,3525942
2,1533423
5,1222901
4,291819
2,3524429
3,475610
1,3080
4,3084222
3,2987853
2,1415179
2,3523891
3,3524938
1,6996
1,3525547
5,5545828
4,3523747
2,3525648
4,1911203
2,3524816
3,2568147
3,227829
3,3523936
2,3523060
3,2902483
4,1182779
4,18801
3,3525643
1,3524840
2,3525084
5,3158490
4,3523042
2,3525613
3,3523038
2,1079652
4,3524891
1,2184786
4,2196459
1,5861175
3,3523548
1,3525258
1,492772
3,3524185
1,3700641
4,1510396
2,2165661
3,750662
3,900952
3,3526229
5,750100
2,4696435
5,1955597
3,4029533
2,2906103
3,28894
2,3525775
3,1544484
2,2843121
2,3523952
4,1115874
3,2955430
2,2079422
4,3526271
4,3188231
4,742562
2,3524328
2,3523567
3,3524517
1,3523538
4,3522939
2,3526376
5,1376669
1,3878508
3,3526491
4,3319390
3,567508
3,323702
4,3158561
3,3526269
4,1425090
4,77210
3,3432768
3,3107730
2,3525700
2,1710086
4,3526765
5,3526619
2,1487042
3,832508
3,151860
2,1024312
3,3525788
2,2028270
1,3524824
3,3524668
4,302190
2,2752051
5,1369161
2,3331916
3,3526712
4,802939
4,2626626
4,3468786
5,5665
