review_id,helpfulness
2415252,2
1117804,5
3525171,2
3524683,4
3524286,5
2748945,3
261042,3
2402541,3
1537937,2
2665303,4
2309008,4
3526023,5
3524493,1
3525274,4
3524196,5
3290653,4
383543,3
3525556,4
3525235,4
338877,4
559086,5
288198,1
2835966,1
2418711,2
3523399,4
3523130,4
2214095,3
3525881,5
3525800,2
3522987,3
3523124,5
374010,1
2182324,3
3523618,2
3523865,4
2902997,3
4961857,4
2170148,5
2337737,1
3526272,5
2484568,5
941262,2
4491900,4
3522996,3
3525205,1
3524097,4
479793,5
2444850,5
399861,3
11593,3
