helpfulness,review_id
2.0,2415252
4.0,1117804
2.83,3525171
2.67,3524683
4.0,3524286
2.67,2748945
2.0,261042
3.66,2402541
2.66,1537937
2.0,2665303
3.66,2309008
1.83,3526023
2.0,3524493
2.67,3525274
2.0,3524196
2.67,3290653
3.0,383543
2.5,3525556
3.0,3525235
2.67,338877
3.0,559086
1.0,288198
1.0,2835966
2.0,2418711
4.0,3523399
3.0,3523130
3.0,2214095
4.0,3525881
2.0,3525800
2.0,3522987
4.0,3523124
1.0,374010
3.0,2182324
1.0,3523618
3.0,3523865
3.0,2902997
4.0,4961857
4.0,2170148
1.0,2337737
3.0,3526272
4.0,2484568
2.0,941262
4.0,4491900
3.0,3522996
1.0,3525205
4.0,3524097
5.0,479793
4.0,2444850
4.0,399861
4.0,11593
2.0,1005604
3.0,600928
3.0,1895810
2.0,3523458
2.0,676375
3.0,3522892
3.0,973588
2.0,3143857
3.0,3523999
3.0,1309436
1.86,2703810
3.14,3523678
1.14,3323854
2.57,3524543
2.0,3207280
4.0,3525875
1.86,545091
2.0,3524421
4.43,432083
2.29,3525214
3.71,3523613
2.86,3475339
3.71,589388
4.29,3524387
2.0,649706
2.14,4643685
3.14,5828605
3.0,3525052
4.14,1572861
2.43,3523529
3.7,3144581
3.1,3524924
4.1,112643
2.4,1853186
4.0,2319273
4.0,1002906
3.6,3525617
3.4,3476693
2.5,2545683
3.0,3524321
3.2,3228205
2.9,3526790
2.8,2169186
2.8,3524504
3.7,3525328
4.4,3525051
4.2,1442520
3.4,3525942
3.1,1533423
4.2,1222901
4.0,291819
3.0,3524429
3.0,475610
1.0,3080
3.0,3084222
3.0,2987853
2.0,1415179
2.0,3523891
1.0,6996
2.0,3525547
3.0,5545828
4.0,3523747
3.0,3525648
4.0,1911203
3.0,3524816
3.0,2568147
3.0,227829
4.0,3523936
2.0,3523060
2.43,2902483
2.57,1182779
3.71,18801
3.0,3525643
1.71,3524840
2.29,3525084
3.43,3158490
2.71,3523042
2.86,3525613
2.86,3523038
3.0,1079652
3.14,3524891
1.43,2184786
3.29,2196459
1.86,5861175
2.29,3523548
1.57,3525258
2.29,492772
3.14,3524185
2.71,3700641
4.0,1510396
2.0,2165661
3.0,750662
3.0,900952
4.0,3526229
4.0,750100
2.0,4696435
5.0,1955597
3.0,4029533
2.0,2906103
3.0,28894
1.0,3525775
3.0,1544484
1.0,2843121
2.0,3523952
4.0,1115874
2.0,2955430
1.0,2079422
3.0,3526271
3.0,3188231
4.14,742562
2.71,3524328
2.14,3523567
2.57,3524517
1.86,3523538
3.57,3522939
2.0,3526376
4.43,1376669
2.14,3878508
3.14,3526491
2.43,3319390
2.43,567508
2.43,323702
2.86,3158561
3.71,3526269
4.0,1425090
2.86,77210
2.86,3432768
2.71,3107730
2.29,3525700
1.86,1710086
3.0,3526765
4.14,3526619
2.86,1487042
3.0,832508
3.57,151860
2.43,1024312
2.71,3525788
1.86,2028270
1.14,3524824
2.0,3524668
2.86,302190
2.71,2752051
3.14,1369161
1.57,3331916
1.86,3526712
3.57,802939
3.29,2626626
3.43,3468786
3.43,5665
