review_id,helpfulness
2415252,2.57
1117804,4.43
3525171,2.57
3524683,3.86
3524286,4.29
2748945,3.14
261042,2.86
2402541,3.71
1537937,1.57
2665303,3.29
2309008,3.86
3526023,2.86
3524493,1.57
3525274,2.71
3524196,2.86
3290653,2.86
383543,2.43
3525556,2.86
3525235,2.86
338877,3.14
559086,3.0
288198,1.0
2835966,1.0
2418711,1.0
3523399,2.0
3523130,4.0
2214095,3.0
3525881,3.0
3525800,1.0
3522987,3.0
3523124,4.0
374010,1.0
2182324,2.0
3523618,1.0
3523865,4.0
2902997,3.0
4961857,4.0
2170148,4.0
2337737,1.0
3526272,4.0
2484568,5.0
941262,2.0
4491900,4.0
3522996,2.0
3525205,1.0
3524097,4.0
479793,5.0
2444850,4.0
399861,3.0
11593,4.0
1005604,2.0
600928,1.0
1895810,3.0
3523458,4.0
676375,3.0
3522892,2.0
973588,3.0
3143857,5.0
3523999,4.0
1309436,1.0
2703810,1.9
3523678,2.9
3323854,1.4
3524543,2.3
3207280,1.7
3525875,3.6
545091,2.3
3524421,2.0
432083,4.3
3525214,2.3
3523613,3.4
3475339,2.7
589388,3.7
3524387,4.1
649706,2.8
4643685,2.4
5828605,3.1
3525052,2.0
1572861,4.1
3523529,2.6
3144581,3.57
3524924,2.71
112643,3.86
1853186,2.43
2319273,4.14
1002906,4.0
3525617,3.57
3476693,3.14
2545683,3.43
3524321,3.57
3228205,3.0
3526790,2.86
2169186,2.86
3524504,2.43
3525328,4.71
3525051,4.71
1442520,4.71
3525942,3.86
1533423,2.43
1222901,4.57
291819,4.0
3524429,2.0
475610,3.0
3080,1.0
3084222,3.0
2987853,3.0
1415179,2.0
3523891,2.0
3524938,4.0
6996,1.0
3525547,2.0
5545828,3.0
3523747,3.0
3525648,3.0
1911203,4.0
3524816,3.0
2568147,3.0
227829,2.0
3523936,4.0
3523060,3.0
2902483,2.0
1182779,3.57
18801,4.29
3525643,3.86
3524840,1.14
3525084,2.0
3158490,4.43
3523042,3.57
3525613,2.86
3523038,3.43
1079652,3.86
3524891,3.71
2184786,1.29
2196459,3.43
5861175,1.29
3523548,3.43
3525258,1.14
492772,2.57
3524185,3.29
3700641,1.86
1510396,4.0
2165661,3.0
750662,3.0
900952,2.0
3526229,4.0
750100,5.0
4696435,2.0
1955597,5.0
4029533,5.0
2906103,4.0
28894,4.0
3525775,3.0
1544484,4.0
2843121,4.0
3523952,3.0
1115874,4.0
2955430,3.0
2079422,3.0
3526271,4.0
3188231,3.0
742562,4.0
3524328,2.0
3523567,1.0
3524517,1.0
3523538,1.0
3522939,4.0
3526376,1.0
1376669,4.0
3878508,1.0
3526491,2.0
3319390,3.0
567508,1.0
323702,2.0
3158561,2.0
3526269,3.0
1425090,3.0
77210,3.0
3432768,2.0
3107730,3.0
3525700,1.0
1710086,2.14
3526765,3.71
3526619,4.57
1487042,2.71
832508,3.86
151860,3.86
1024312,2.29
3525788,3.43
2028270,2.14
3524824,1.43
3524668,1.57
302190,3.29
2752051,1.71
1369161,4.14
3331916,1.71
3526712,1.57
802939,3.57
2626626,3.43
3468786,2.57
5665,4.29
