review_id,helpfulness
2415252,2
1117804,5
3525171,2
3524683,4
3524286,5
2748945,3
261042,3
2402541,4
1537937,1
2665303,3
2309008,4
3526023,5
3524493,2
3525274,4
3524196,4
3290653,4
383543,3
3525556,4
3525235,3
338877,3
559086,3
288198,1
2835966,1
2418711,2
3523399,4
3523130,3
2214095,3
3525881,4
3525800,2
3522987,3
3523124,5
374010,1
2182324,3
3523618,1
3523865,4
2902997,4
4961857,5
2170148,5
2337737,1
3526272,5
2484568,5
941262,2
4491900,4
3522996,3
3525205,1
3524097,4
479793,5
2444850,5
399861,4
11593,4
1005604,2
600928,2
1895810,4
3523458,5
676375,3
3522892,3
973588,3
3143857,5
3523999,4
1309436,2
2703810,2
3523678,4
3323854,1
3524543,3
3207280,2
3525875,5
545091,1
3524421,2
432083,5
3525214,2
3523613,5
3475339,2
589388,5
3524387,5
649706,1
4643685,4
5828605,4
3525052,3
1572861,5
3523529,4
3144581,4
3524924,3
112643,4
1853186,1
2319273,5
1002906,4
3525617,4
3476693,4
2545683,3
3524321,3
3228205,3
3526790,4
2169186,2
3524504,2
3525328,4
3525051,5
1442520,4
3525942,4
1533423,2
1222901,5
291819,4
3524429,1
475610,3
3080,1
3084222,4
2987853,4
1415179,2
3523891,2
3524938,4
6996,1
3525547,1
5545828,5
3523747,5
3525648,3
1911203,4
3524816,3
2568147,4
227829,4
3523936,4
3523060,3
2902483,3
1182779,4
18801,5
3525643,4
3524840,1
3525084,2
3158490,5
3523042,4
3525613,2
3523038,3
1079652,3
3524891,4
2184786,1
2196459,5
5861175,1
3523548,4
3525258,1
492772,1
3524185,4
3700641,2
1510396,4
2165661,2
750662,3
900952,2
3526229,4
750100,5
4696435,2
1955597,4
4029533,3
2906103,4
28894,4
3525775,2
1544484,4
2843121,3
3523952,2
1115874,5
2955430,3
2079422,2
3526271,3
3188231,4
742562,5
3524328,3
3523567,2
3524517,2
3523538,1
3522939,4
3526376,2
1376669,4
3878508,2
3526491,3
3319390,5
567508,2
323702,4
3158561,4
3526269,5
1425090,4
77210,3
3432768,3
3107730,5
3525700,4
1710086,3
3526765,4
3526619,5
1487042,2
832508,4
151860,3
1024312,2
3525788,3
2028270,2
3524824,2
3524668,3
302190,4
2752051,2
1369161,5
3331916,2
3526712,2
802939,5
2626626,4
3468786,3
5665,5
