review_id,helpfulness
1130688,1
1437136,4
769442,4
343871,1
98308,3
1400127,2
82007,3
973645,4
1652592,5
1040000,4
522479,5
1141317,4
771668,2
1809502,3
1809356,1
106804,3
1523108,5
1521547,4
1255325,3
122135,5
236371,3
1665291,2
1198706,4
1809297,3
1478851,2
1809368,1
1186279,3
243862,2
470240,2
1384313,3
1809371,4
1809549,3
1122313,2
1809318,1
293330,4
673258,4
890158,4
480713,4
1240410,2
1142423,3
97338,3
1582074,2
80508,4
1186702,3
1421819,4
1809436,3
79266,3
473794,2
1565880,2
1809348,3
1247156,4
848477,3
1568725,1
2007800,3
943847,1
1766844,3
1297944,1
897454,4
1809564,2
456312,3
774365,4
1636046,4
122020,1
1155309,4
179922,3
1417896,3
320995,3
364797,3
757193,1
1286738,2
1198360,4
370864,3
264921,1
700980,3
1809562,2
611305,4
38698,3
172803,1
1452324,3
1809427,2
1361887,4
133322,1
302382,2
133658,4
1523532,2
768435,5
1809414,1
372872,2
1809343,1
1140852,2
202150,4
1473802,2
1809299,1
556666,3
164083,4
1043465,3
1809332,2
1582429,3
591047,4
1113192,2
1809346,3
1809355,2
885943,4
777421,3
1183585,4
1416021,3
1086780,2
1508948,2
888044,2
908965,3
788230,4
1720538,2
1173429,2
613965,3
1025005,3
1809286,1
221411,3
1499690,3
1306756,3
1785775,3
1407889,2
43879,3
220456,1
294297,4
1759404,3
183696,3
1809559,2
837826,4
1809417,1
14015,2
1408011,2
972506,1
1326790,3
1502460,2
1609638,4
1676969,1
575411,1
952333,4
1809372,3
1809477,2
468276,4
1629991,2
1160246,2
1076638,3
1349745,3
446140,5
91617,2
1646723,3
1394753,4
842208,4
1809515,3
1601989,2
1809464,2
584171,4
2894,3
808131,3
1303326,3
1176329,3
992770,3
379802,4
36523,3
999430,2
1361442,2
886260,2
95215,4
1134302,2
381603,3
1809568,2
1809533,2
1466086,3
1220984,4
33573,1
145322,4
1809296,2
1579981,3
887534,3
781402,2
581090,3
347512,2
930381,2
6232,2
1250974,3
1481207,2
609149,4
668244,3
1809530,1
1188113,2
1685113,3
69480,2
712485,2
297667,4
758654,3
925102,2
1680318,4
1538715,3
736157,1
1215476,3
655746,2
1809400,1
1972144,3
