review_id,helpfulness
1130688,1
1437136,4
769442,2
343871,2
98308,3
1400127,1
82007,3
973645,4
1652592,4
1040000,3
522479,4
1141317,5
771668,2
1809502,3
1809356,1
106804,3
1523108,4
1521547,3
1255325,2
122135,5
236371,3
1665291,2
1198706,5
1809297,4
1478851,2
1809368,1
1186279,4
243862,2
470240,2
1384313,2
1809371,3
1809549,2
1122313,2
1809318,1
293330,4
673258,5
890158,5
480713,3
1240410,1
1142423,4
97338,3
1582074,2
80508,4
1186702,2
1421819,4
1809436,2
79266,3
473794,2
1565880,1
1809348,2
1247156,4
848477,4
1568725,1
2007800,3
943847,1
1766844,3
1297944,1
897454,3
1809564,2
456312,3
774365,3
1636046,4
122020,2
1155309,3
179922,4
1417896,4
320995,3
364797,4
757193,2
1286738,3
1198360,4
370864,3
264921,2
700980,3
1809562,3
611305,4
38698,3
172803,2
1452324,3
1809427,3
1361887,4
133322,2
302382,3
133658,4
1523532,3
768435,5
1809414,2
372872,3
1809343,2
1140852,2
202150,4
1473802,3
1809299,2
556666,3
164083,3
1043465,2
1809332,3
1582429,3
591047,4
1113192,3
1809346,2
1809355,3
885943,5
777421,3
1183585,4
1416021,3
1086780,2
1508948,3
888044,2
908965,2
788230,5
1720538,2
1173429,2
613965,4
1025005,4
1809286,2
221411,3
1499690,3
1306756,3
1785775,4
1407889,2
43879,3
220456,1
294297,4
1759404,4
183696,3
1809559,2
837826,4
1809417,2
14015,2
1408011,2
972506,1
1326790,3
1502460,2
1609638,4
1676969,1
575411,2
952333,4
1809372,3
1809477,3
468276,3
1629991,2
1160246,2
1076638,2
1349745,3
446140,5
91617,2
1646723,2
1394753,3
842208,3
1809515,3
1601989,3
1809464,3
584171,3
2894,2
808131,3
1303326,4
1176329,2
992770,2
379802,4
36523,2
999430,3
1361442,2
886260,2
95215,4
1134302,2
381603,4
1809568,3
1809533,3
1466086,3
1220984,3
33573,1
145322,4
1809296,2
1579981,3
887534,3
781402,2
581090,2
347512,1
930381,2
6232,1
1250974,3
1481207,1
609149,4
668244,4
1809530,1
1188113,1
1685113,1
69480,1
712485,2
297667,4
758654,4
925102,3
1680318,4
1538715,2
736157,1
1215476,3
655746,2
1809400,1
1972144,3
