helpfulness,review_id
3,2415252
4,1117804
2,3525171
3,3524683
4,3524286
4,2748945
3,261042
4,2402541
2,1537937
3,2665303
3,2309008
2,3526023
1,3524493
3,3525274
2,3524196
2,3290653
2,383543
3,3525556
4,3525235
2,338877
3,559086
1,288198
1,2835966
2,2418711
4,3523399
2,3523130
3,2214095
3,3525881
1,3525800
2,3522987
3,3523124
1,374010
3,2182324
1,3523618
3,3523865
2,2902997
4,4961857
4,2170148
1,2337737
2,3526272
4,2484568
3,941262
4,4491900
3,3522996
2,3525205
4,3524097
4,479793
4,2444850
3,399861
3,11593
2,1005604
2,600928
4,1895810
3,3523458
3,676375
3,3522892
3,973588
4,3143857
4,3523999
4,1309436
2,2703810
4,3523678
1,3323854
4,3524543
2,3207280
3,3525875
2,545091
3,3524421
5,432083
2,3525214
2,3523613
3,3475339
4,589388
5,3524387
2,649706
2,4643685
3,5828605
3,3525052
4,1572861
2,3523529
3,3144581
2,3524924
4,112643
1,1853186
4,2319273
4,1002906
2,3525617
3,3476693
3,2545683
3,3524321
2,3228205
2,3526790
2,2169186
3,3524504
4,3525328
5,3525051
4,1442520
3,3525942
2,1533423
4,1222901
4,291819
2,3524429
2,475610
1,3080
3,3084222
3,2987853
2,1415179
2,3523891
3,3524938
1,6996
1,3525547
3,5545828
3,3523747
3,3525648
4,1911203
2,3524816
2,2568147
3,227829
3,3523936
2,3523060
2,2902483
3,1182779
4,18801
4,3525643
1,3524840
3,3525084
5,3158490
3,3523042
1,3525613
4,3523038
3,1079652
3,3524891
1,2184786
4,2196459
1,5861175
3,3523548
1,3525258
1,492772
3,3524185
2,3700641
3,1510396
2,2165661
3,750662
2,900952
3,3526229
3,750100
2,4696435
4,1955597
2,4029533
3,2906103
2,28894
2,3525775
2,1544484
2,2843121
2,3523952
3,1115874
2,2955430
1,2079422
3,3526271
2,3188231
4,742562
2,3524328
1,3523567
3,3524517
1,3523538
2,3522939
2,3526376
4,1376669
1,3878508
3,3526491
2,3319390
2,567508
3,323702
2,3158561
3,3526269
4,1425090
2,77210
2,3432768
2,3107730
2,3525700
3,1710086
5,3526765
5,3526619
3,1487042
4,832508
4,151860
3,1024312
4,3525788
2,2028270
2,3524824
3,3524668
4,302190
3,2752051
4,1369161
2,3331916
3,3526712
4,802939
4,2626626
4,3468786
4,5665
