helpfulness,review_id,custom_id
2,2415252.0,
4,1117804.0,
4,3525171.0,
3,3524683.0,
4,3524286.0,
4,2748945.0,
2,261042.0,
4,2402541.0,
3,1537937.0,
2,2665303.0,
4,2309008.0,
3,3526023.0,
2,3524493.0,
4,3525274.0,
3,3524196.0,
2,3290653.0,
3,383543.0,
2,3525556.0,
4,3525235.0,
2,338877.0,
4,559086.0,
2,288198.0,
1,2835966.0,
2,2418711.0,
3,3523399.0,
3,3523130.0,
5,2214095.0,
3,3525881.0,
2,3525800.0,
3,3522987.0,
3,3523124.0,
2,374010.0,
3,2182324.0,
2,3523618.0,
3,3523865.0,
2,2902997.0,
3,4961857.0,
3,2170148.0,
2,2337737.0,
2,3526272.0,
4,2484568.0,
2,941262.0,
4,4491900.0,
3,3522996.0,
2,3525205.0,
3,3524097.0,
5,479793.0,
4,2444850.0,
3,399861.0,
2,11593.0,
3,1005604.0,
4,600928.0,
4,1895810.0,
4,3523458.0,
3,676375.0,
3,3522892.0,
3,973588.0,
2,3143857.0,
3,3523999.0,
4,1309436.0,
2,2703810.0,
2,3523678.0,
2,3323854.0,
2,3524543.0,
2,3207280.0,
3,3525875.0,
2,545091.0,
2,3524421.0,
4,432083.0,
2,3525214.0,
4,3523613.0,
3,3475339.0,
4,589388.0,
5,3524387.0,
3,649706.0,
2,4643685.0,
3,5828605.0,
2,3525052.0,
4,1572861.0,
2,3523529.0,
2,3144581.0,
4,3524924.0,
4,112643.0,
1,1853186.0,
4,2319273.0,
4,1002906.0,
2,3525617.0,
2,3476693.0,
4,2545683.0,
4,3524321.0,
3,3228205.0,
2,3526790.0,
3,2169186.0,
3,3524504.0,
4,3525328.0,
3,3525051.0,
4,1442520.0,
3,3525942.0,
2,1533423.0,
4,1222901.0,
4,291819.0,
2,3524429.0,
3,475610.0,
2,3080.0,
4,3084222.0,
3,2987853.0,
2,1415179.0,
2,3523891.0,
3,3524938.0,
2,,6996.0
2,3525547.0,
5,5545828.0,
5,3523747.0,
3,3525648.0,
4,1911203.0,
3,3524816.0,
3,2568147.0,
3,227829.0,
4,3523936.0,
3,3523060.0,
3,2902483.0,
4,1182779.0,
5,18801.0,
4,3525643.0,
2,3524840.0,
2,3525084.0,
2,3158490.0,
4,3523042.0,
2,3525613.0,
2,3523038.0,
4,1079652.0,
4,3524891.0,
2,2184786.0,
4,2196459.0,
2,5861175.0,
3,3523548.0,
1,3525258.0,
2,492772.0,
3,3524185.0,
2,3700641.0,
4,1510396.0,
3,2165661.0,
5,750662.0,
4,900952.0,
2,3526229.0,
5,750100.0,
3,4696435.0,
4,1955597.0,
2,402953.0,
2,2906103.0,
3,28894.0,
2,3525775.0,
3,1544484.0,
2,2843121.0,
2,3523952.0,
3,1115874.0,
2,2955430.0,
2,2079422.0,
4,3526271.0,
4,3188231.0,
3,742562.0,
2,3524328.0,
2,3523567.0,
3,3524517.0,
2,3523538.0,
3,3522939.0,
2,3526376.0,
4,1376669.0,
2,3878508.0,
3,3526491.0,
3,3319390.0,
2,567508.0,
3,323702.0,
4,3158561.0,
3,3526269.0,
4,1425090.0,
3,77210.0,
3,3432768.0,
3,3107730.0,
2,3525700.0,
2,1710086.0,
5,3526765.0,
5,3526619.0,
2,1487042.0,
1,832508.0,
4,151860.0,
1,1024312.0,
1,3525788.0,
1,2028270.0,
1,3524824.0,
3,3524668.0,
4,302190.0,
3,2752051.0,
5,1369161.0,
2,3331916.0,
2,3526712.0,
4,802939.0,
3,2626626.0,
4,3468786.0,
4,5665.0,
