helpfulness,review_id,review:: 5
2,2415252.0,
5,1117804.0,
4,3525171.0,
3,3524683.0,
4,3524286.0,
4,2748945.0,
2,261042.0,
3,2402541.0,
2,1537937.0,
1,2665303.0,
3,2309008.0,
3,3526023.0,
2,3524493.0,
4,3525274.0,
3,3524196.0,
3,3290653.0,
3,383543.0,
2,3525556.0,
4,3525235.0,
3,338877.0,
3,559086.0,
1,288198.0,
1,2835966.0,
2,2418711.0,
3,3523399.0,
3,3523130.0,
4,2214095.0,
3,3525881.0,
1,3525800.0,
2,3522987.0,
4,3523124.0,
1,374010.0,
3,2182324.0,
2,3523618.0,
3,3523865.0,
2,2902997.0,
3,4961857.0,
3,2170148.0,
2,2337737.0,
1,3526272.0,
4,2484568.0,
2,941262.0,
4,4491900.0,
3,3522996.0,
1,3525205.0,
3,3524097.0,
5,479793.0,
3,2444850.0,
3,399861.0,
2,11593.0,
2,1005604.0,
3,600928.0,
3,1895810.0,
4,3523458.0,
3,676375.0,
2,3522892.0,
2,973588.0,
1,3143857.0,
3,3523999.0,
3,1309436.0,
2,2703810.0,
3,3523678.0,
1,3323854.0,
3,3524543.0,
2,3207280.0,
2,3525875.0,
2,545091.0,
2,3524421.0,
4,432083.0,
2,3525214.0,
5,3523613.0,
3,3475339.0,
4,589388.0,
5,3524387.0,
2,649706.0,
2,4643685.0,
2,5828605.0,
2,3525052.0,
4,1572861.0,
1,3523529.0,
3,3144581.0,
4,3524924.0,
4,112643.0,
2,1853186.0,
4,2319273.0,
4,1002906.0,
2,3525617.0,
3,3476693.0,
4,2545683.0,
5,3524321.0,
2,3228205.0,
3,3526790.0,
2,2169186.0,
2,3524504.0,
4,3525328.0,
4,3525051.0,
4,1442520.0,
3,3525942.0,
2,1533423.0,
4,1222901.0,
4,291819.0,
2,3524429.0,
3,475610.0,
3,3080.0,
5,3084222.0,
4,2987853.0,
2,1415179.0,
2,3523891.0,
3,3524938.0,
2,6996.0,
2,3525547.0,
4,5545828.0,
4,3523747.0,
3,3525648.0,
5,1911203.0,
3,3524816.0,
3,2568147.0,
4,227829.0,
3,3523936.0,
2,3523060.0,
3,2902483.0,
4,1182779.0,
4,18801.0,
3,3525643.0,
1,3524840.0,
2,3525084.0,
2,3158490.0,
3,3523042.0,
1,3525613.0,
2,3523038.0,
3,1079652.0,
3,3524891.0,
1,2184786.0,
3,2196459.0,
2,5861175.0,
2,3523548.0,
1,3525258.0,
2,492772.0,
2,3524185.0,
2,3700641.0,
4,1510396.0,
3,2165661.0,
4,750662.0,
4,900952.0,
2,3526229.0,
4,750100.0,
3,4696435.0,
4,1955597.0,
2,4029533.0,
2,2906103.0,
3,28894.0,
2,3525775.0,
3,1544484.0,
1,2843121.0,
2,3523952.0,
3,1115874.0,
2,2955430.0,
2,2079422.0,
4,3526271.0,
4,3188231.0,
4,742562.0,
1,3524328.0,
1,3523567.0,
2,3524517.0,
2,3523538.0,
3,3522939.0,
1,3526376.0,
5,1376669.0,
3,3878508.0,
2,3526491.0,
4,3319390.0,
3,567508.0,
4,323702.0,
4,3158561.0,
2,3526269.0,
4,1425090.0,
3,77210.0,
3,3432768.0,
2,3107730.0,
1,3525700.0,
2,1710086.0,
5,3526765.0,
5,3526619.0,
2,1487042.0,
2,832508.0,
4,151860.0,
2,1024312.0,
2,3525788.0,
1,2028270.0,
2,,2.0
2,3524668.0,
4,302190.0,
3,2752051.0,
5,1369161.0,
1,3331916.0,
2,3526712.0,
3,802939.0,
3,2626626.0,
4,3468786.0,
3,5665.0,
