helpfulness,review_id,review_text,text,+review_id
1,2415252.0,,,
4,,They’re a keeper!,Love these diapers and have used them almost exclusively since 2019 for my two daughters (18 month old used her entire life and my 3.5 year old). I chose them because of the low cost and also they claim to contain fewer chemicals than Huggies/Pampers. They have worked great for us. Minimal leakage but we do use huggies overnight for the younger child. No skin reactions. Like the plain white and polka dot pattern. Fit babies well and they seem comfortable. For toddlers they sag when wet but we still use because of the low cost. I also think...,
3,,Love this diaper!,Much better than other brands like pamper and huggies! It’s light and has perfect fit!,
2,,Decent diaper for the price,"The price is fine, but the absorbency leaves much to be desired for overnight wear. Is fine for during the day as long as you don't have to go a long time without a change (long car ride etc).",
4,,"Great, stretchy diaper","These are very good quality diapers at a good price point. We used Huggies because they were good quality but inexpensive compared to Pampers. However, I would have purchased these Amazon brand diapers since they are equally as good expensive as Huggies yet of a slightly better quality. When I say better quality I mean the Amazon brand diapers absorbs a child’s bodily fluids well but also stretches better than Huggies at the waist. The result is a stretchy diaper that provides better comfort to the child.",
4,,Very good diapers,This was the 1st time I ordered these diapers I seeing the good reviews and always switching up diapers to see which one works better and I am very happy with these diapers they hold up very well and they're very good shape no leakage very happy the price I just ordered another big pack,
2,,Wetness leaks through more than other brands,We went back to our other brand because the diaper would feel damp and it would make the clothes damp also.,
4,,Great diapers,"Love this brand! My son, whose skin is very sensitive to certain materials and fragrances, has had no problem.",
3,,Good purchase,Purchase with confidence this is a good product 👌,
1,,Don’t like the crystals,"You’ll quickly see why these are so affordable. The absorbent gel expands massively, and it feels like the gel beads inside one of those cheap spa eye gel coolers. Seeing as PFAs and other chemicals are largely responsible for the decline in fertility, I don’t want that near my son’s bits. I knew there would be a sacrifice at this price but not worth it.",
4,2309008.0,,,
2,3526023.0,,,
2,3524493.0,,,
4,3525274.0,,,
2,3524196.0,,,
2,3290653.0,,,
3,383543.0,,,
2,3525556.0,,,
4,3525235.0,,,
3,338877.0,,,
2,559086.0,,,
1,288198.0,,,
1,2835966.0,,,
1,2418711.0,,,
2,3523399.0,,,
1,3523130.0,,,
4,2214095.0,,,
2,3525881.0,,,
1,3525800.0,,,
2,3522987.0,,,
3,3523124.0,,,
2,374010.0,,,
3,2182324.0,,,
2,3523618.0,,,
3,3523865.0,,,
2,2902997.0,,,
3,4961857.0,,,
3,2170148.0,,,
2,2337737.0,,,
2,3526272.0,,,
3,2484568.0,,,
2,941262.0,,,
4,4491900.0,,,
2,3522996.0,,,
