helpfulness,review_id,review_code
1,2415252.0,
4,1117804.0,
3,3525171.0,
2,3524683.0,
4,3524286.0,
3,2748945.0,
2,261042.0,
3,2402541.0,
2,1537937.0,
1,2665303.0,
4,2309008.0,
3,3526023.0,
1,3524493.0,
4,3525274.0,
3,3524196.0,
2,329065.0,
4,383543.0,
2,3525556.0,
4,3525235.0,
2,338877.0,
3,559086.0,
2,288198.0,
1,2835966.0,
2,2418711.0,
2,3523399.0,
2,3523130.0,
3,2214095.0,
3,3525881.0,
1,3525800.0,
2,3522987.0,
3,3523124.0,
1,,374010.0
4,2182324.0,
2,3523618.0,
2,3523865.0,
1,2902997.0,
3,4961857.0,
3,2170148.0,
1,2337737.0,
1,3526272.0,
2,2484568.0,
2,941262.0,
3,4491900.0,
2,3522996.0,
1,3525205.0,
2,3524097.0,
4,479793.0,
2,2444850.0,
3,399861.0,
2,11593.0,
2,1005604.0,
3,600928.0,
2,1895810.0,
3,3523458.0,
2,676375.0,
2,3522892.0,
2,973588.0,
1,3143857.0,
3,3523999.0,
3,1309436.0,
2,2703810.0,
2,3523678.0,
1,3323854.0,
2,3524543.0,
2,3207280.0,
3,3525875.0,
2,545091.0,
2,3524421.0,
4,432083.0,
2,3525214.0,
2,3523613.0,
3,3475339.0,
4,589388.0,
5,3524387.0,
3,649706.0,
2,4643685.0,
3,5828605.0,
1,3525052.0,
4,1572861.0,
2,3523529.0,
3,3144581.0,
4,3524924.0,
4,112643.0,
2,1853186.0,
4,2319273.0,
4,1002906.0,
2,3525617.0,
2,3476693.0,
4,2545683.0,
5,3524321.0,
2,3228205.0,
2,3526790.0,
3,2169186.0,
2,3524504.0,
4,3525328.0,
3,3525051.0,
4,1442520.0,
3,3525942.0,
2,1533423.0,
4,1222901.0,
3,291819.0,
2,3524429.0,
2,475610.0,
2,3080.0,
4,3084222.0,
3,2987853.0,
2,1415179.0,
1,3523891.0,
3,3524938.0,
1,6996.0,
2,3525547.0,
2,5545828.0,
3,3523747.0,
2,3525648.0,
4,1911203.0,
2,3524816.0,
3,2568147.0,
3,227829.0,
3,3523936.0,
2,3523060.0,
2,2902483.0,
4,1182779.0,
4,18801.0,
3,3525643.0,
1,3524840.0,
2,3525084.0,
2,3158490.0,
4,3523042.0,
1,3525613.0,
2,3523038.0,
3,1079652.0,
4,3524891.0,
1,2184786.0,
3,2196459.0,
2,5861175.0,
4,3523548.0,
1,3525258.0,
3,492772.0,
3,3524185.0,
3,3700641.0,
3,1510396.0,
3,2165661.0,
3,750662.0,
3,900952.0,
2,3526229.0,
3,750100.0,
3,4696435.0,
4,1955597.0,
1,4029533.0,
2,2906103.0,
2,28894.0,
1,3525775.0,
2,1544484.0,
1,2843121.0,
2,3523952.0,
3,1115874.0,
2,2955430.0,
2,2079422.0,
3,3526271.0,
4,3188231.0,
4,742562.0,
2,3524328.0,
2,3523567.0,
3,3524517.0,
2,3523538.0,
3,3522939.0,
1,3526376.0,
5,1376669.0,
3,3878508.0,
2,3526491.0,
2,3319390.0,
3,567508.0,
2,323702.0,
2,3158561.0,
1,3526269.0,
3,1425090.0,
2,77210.0,
3,3432768.0,
1,3107730.0,
1,3525700.0,
3,1710086.0,
5,3526765.0,
5,3526619.0,
3,1487042.0,
2,832508.0,
4,151860.0,
2,1024312.0,
2,3525788.0,
2,2028270.0,
1,3524824.0,
3,3524668.0,
4,302190.0,
3,2752051.0,
5,1369161.0,
2,3331916.0,
3,3526712.0,
3,802939.0,
2,2626626.0,
4,3468786.0,
5,5665.0,
